PRODUCT_NUMBER,CUSTOMER_NUMBER,TRANSACTION_DATE,PRODUCT_PRICE,GROSS_SALES,REGION,WAREHOUSE,CUSTOMER_ZIP,CUSTOMER_SEGMENT1,CUSTOMER_SEGMENT2,CUSTOMER_TYPE1,CUSTOMER_TYPE2,CUSTOMER_MANAGED_LEVEL,CUSTOMER_ACCOUNT_TYPE,CUSTOMER_FIRST_ORDER_DATE,PRODUCT_CLASS_ID1,PRODUCT_CLASS_ID2,PRODUCT_CLASS_ID3,PRODUCT_CLASS_ID4,BRAND,PRODUCT_ATTRIBUTE_X,PRODUCT_SALES_UNIT,SHIPPING_WEIGHT,TOTAL_BOXES_SOLD,PRODUCT_COST1,PRODUCT_UNIT_OF_MEASURE,ORDER_SOURCE,PRICE_METHOD,SPECIAL_PART
605832,99,2012-10-12 00:00:00.0000000,20.59,20.59,1,1,95,B,1,1,B,L,ST,2005-07-18 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.69,B,A,4,No
605832,70,2012-12-31 00:00:00.0000000,21.65,21.65,1,1,5,B,1,1,B,L,ST,1995-03-22 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.68,B,A,4,No
605832,19,2013-12-17 00:00:00.0000000,22.81,22.81,1,1,22,B,1,1,B,L,ST,2011-02-01 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.66,B,A,1,No
605832,70,2013-10-26 00:00:00.0000000,22.94,22.94,1,1,5,B,1,1,B,L,ST,1995-03-22 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.66,B,A,4,No
605832,99,2013-10-25 00:00:00.0000000,20.55,20.55,1,1,95,B,1,1,B,L,ST,2005-07-18 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.66,B,A,4,No
605832,79,2014-11-26 00:00:00.0000000,28.26,28.26,1,1,84,B,1,1,B,L,ST,2008-09-09 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,20.27,B,B,4,No
605832,99,2013-01-02 00:00:00.0000000,20.59,20.59,1,1,95,B,1,1,B,L,ST,2005-07-18 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.68,B,A,4,No
605832,129,2014-04-22 00:00:00.0000000,28.07,28.07,1,1,34,B,1,1,B,L,ST,2005-03-18 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.84,B,A,4,No
605832,91,2014-01-13 00:00:00.0000000,23.65,23.65,1,1,57,B,1,1,B,L,ST,2007-10-01 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,18.66,B,B,4,No
605832,79,2015-05-28 00:00:00.0000000,28.88,28.88,1,1,84,B,1,1,B,L,ST,2008-09-09 00:00:00.0000000,1,16,136,1702,IN_HOUSE,540.0,N,16.5,1.0,20.7,B,B,4,No
