PRODUCT_NUMBER,CUSTOMER_NUMBER,TRANSACTION_DATE,PRODUCT_PRICE,GROSS_SALES,REGION,WAREHOUSE,CUSTOMER_ZIP,CUSTOMER_SEGMENT1,CUSTOMER_SEGMENT2,CUSTOMER_TYPE1,CUSTOMER_TYPE2,CUSTOMER_MANAGED_LEVEL,CUSTOMER_ACCOUNT_TYPE,CUSTOMER_FIRST_ORDER_DATE,PRODUCT_CLASS_ID1,PRODUCT_CLASS_ID2,PRODUCT_CLASS_ID3,PRODUCT_CLASS_ID4,BRAND,PRODUCT_ATTRIBUTE_X,PRODUCT_SALES_UNIT,SHIPPING_WEIGHT,TOTAL_BOXES_SOLD,PRODUCT_COST1,PRODUCT_UNIT_OF_MEASURE,ORDER_SOURCE,PRICE_METHOD,SPECIAL_PART
717368,98,2015-01-22 00:00:00.0000000,25.28,25.28,1,1,94,A,1,1,B,L,ST,2011-04-07 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.59,B,A,4,No
717368,98,2014-09-11 00:00:00.0000000,24.11,24.11,1,1,94,A,1,1,B,L,ST,2011-04-07 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.42,B,A,4,No
717368,3,2015-01-02 00:00:00.0000000,23.02,23.02,1,1,79,A,1,1,A,L,ST,2010-10-01 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.59,B,A,4,No
717368,98,2014-08-28 00:00:00.0000000,24.11,24.11,1,1,94,A,1,1,B,L,ST,2011-04-07 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.42,B,A,4,No
717368,3,2013-11-14 00:00:00.0000000,21.24,21.24,1,1,79,A,1,1,A,L,ST,2010-10-01 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.68,B,A,4,No
717368,3,2013-10-31 00:00:00.0000000,21.24,21.24,1,1,79,A,1,1,A,L,ST,2010-10-01 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.68,B,A,4,No
717368,117,2014-02-17 00:00:00.0000000,25.71,25.71,1,1,68,A,1,1,C,L,ST,2006-09-11 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.32,B,A,4,No
717368,14,2014-07-11 00:00:00.0000000,27.28,27.28,1,1,8,A,1,1,B,L,ST,2011-12-09 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.42,B,A,4,No
717368,139,2013-06-28 00:00:00.0000000,20.07,40.14,1,1,80,A,1,1,B,L,DM,2006-03-21 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,40.0,2.0,32.56,B,A,1,No
717368,14,2013-12-12 00:00:00.0000000,26.33,26.33,1,1,8,A,1,1,B,L,ST,2011-12-09 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,17.32,B,A,4,No
717368,98,2013-12-16 00:00:00.0000000,21.55,21.55,1,1,94,A,1,1,B,L,ST,2011-04-07 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,17.92,B,A,1,No
717368,117,2014-08-11 00:00:00.0000000,23.19,23.19,1,1,68,A,1,1,C,L,ST,2006-09-11 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.42,B,A,4,No
717368,3,2015-06-18 00:00:00.0000000,25.02,50.04,1,1,79,A,1,1,A,L,ST,2010-10-01 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,40.0,2.0,40.38,B,A,1,No
717368,14,2014-11-07 00:00:00.0000000,26.82,26.82,1,1,8,A,1,1,B,L,ST,2011-12-09 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.28,B,A,1,No
717368,139,2014-12-05 00:00:00.0000000,21.14,21.14,1,1,80,A,1,1,B,L,ST,2006-03-21 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,16.0,B,A,4,No
717368,98,2014-04-03 00:00:00.0000000,23.27,23.27,1,1,94,A,1,1,B,L,ST,2011-04-07 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,18.32,B,A,1,No
717368,130,2015-07-09 00:00:00.0000000,27.61,27.61,1,1,81,A,1,1,B,L,ST,2004-08-12 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,20.19,B,B,4,No
717368,130,2015-06-18 00:00:00.0000000,27.61,27.61,1,1,81,A,1,1,B,L,ST,2004-08-12 00:00:00.0000000,2,17,142,1490,IN_HOUSE,365.0,N,20.0,1.0,20.19,B,B,4,No
